id;categoria;palabra;archivo_imagen;descripcion_actual;descripcion_ocr;descripcion_corregida
LSP-000587;paises_y_ciudades;ica;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_03.png;;—_. I ° Le 1. Configurar “I” con la mano derecha. 2. Apoyar sobre la palma izquierda el borde cubital de la mano derecha con los dedos semiflexionados.;
LSP-000588;paises_y_ciudades;iquitos;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_04.png;;—_—o— ~—w\ 7 — ~ - NW Con los dedos indice y medio de la mano derecha realizar un movimiento pequefo sobre la mejilla derecha.;
LSP-000589;paises_y_ciudades;madre de dios;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_05.png;;"MADRE DE DIOS 0) @ at . | oN I N\ |, ij} i /, / ¥ 2. Configurarlasefia""DIOS"".";
LSP-000590;paises_y_ciudades;pucallpa;imagenes/paises_y_ciudades/revisar_pagina_228_tarjeta_06.png;;PUCALLPA XG [NS Con las dos manos juntas y extendidas con las palmas hacia arriba, realizar un movimiento de derecha a izquierda.;
LSP-000591;paises_y_ciudades;puno;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_01.png;;". ~w a: a G, \.f —a¥ YY Configurar la letra ""P"" en la mejilla derecha y realizar movimientos circulares sobre ella.";
LSP-000592;paises_y_ciudades;san martin;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_02.png;;SAN MARTIN q @ p) \ ( Ip: L a Wy id 4 ‘> @ 1. Configurar “S” conla mano derecha. ™ 2. Realizando un movimiento ondulatorio hacia abajo configurar “M’. S fol;
LSP-000593;paises_y_ciudades;tacna;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_03.png;;ro} i LS Gg PFN 1. Formar “T” con la mano derecha. 2.Sobre el antebrazo izquierdo realizar un movimiento semicircular , desde la altura del codo hasta los dedos. >;
LSP-000594;paises_y_ciudades;trujillo;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_04.png;;TRUJILLO \ yy )) 1 Con la mano derecha simular coger un pafiuelo y con el cuerpo adoptar posicién de baile.;
LSP-000595;paises_y_ciudades;tumbes;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_05.png;;TUMBES sy 3 frente.;
LSP-000596;paises_y_ciudades;ucayali;imagenes/paises_y_ciudades/revisar_pagina_229_tarjeta_06.png;;_—_ “™ < | = 0) 2 “Ss “ “\ A 1. Configurar “U” conla mano derecha. 2.Juntar ambas manos con los dedos semiflexionados y realizar movimientos hacia adelante.;
LSP-000597;paises_y_ciudades;lima;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_01.png;;8 Fuss Colocar sobre la palma de mano izquierda la derecha configurando “L’.;
LSP-000598;paises_y_ciudades;ate;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_02.png;;o @ U = ©;
LSP-000599;paises_y_ciudades;barranco;imagenes/paises_y_ciudades/revisar_pagina_230_tarjeta_03.png;;">) ~~ i. 1 5 4 —— 4s ‘ ; A la altura de la cabeza configurar “B” con la mano derecha, la palma hacia afuera, bajar la mano con movimiento recto.";
